#ZSP	IVOO	VIOO	ZCN	VEE	VIU	ZAG	VBG	VBU	HEP
30.950001	105.760002	111.790001	19.889999	29.66	24.1	16.32	27.43	25.85	35.939999
31.01	104.830002	111.129997	19.879999	29.59	24.040001	16.309999	27.549999	25.940001	35.23
30.860001	104.510002	110.82	19.85	29.610001	23.91	16.33	27.48	25.91	35.43
31.040001	105.25	111.489998	19.85	29.639999	23.9	16.299999	27.459999	25.91	35.009998
31.24	105.309998	111.510002	19.93	29.48	24.129999	16.35	27.48	25.9	34.529999
31.219999	105.419998	111.870003	19.959999	29.24	24.209999	16.34	27.48	25.92	34.110001
31.08	105.93	112.650002	19.780001	29.360001	24.16	16.360001	27.52	25.93	31.719999
31.030001	105.120003	111.900002	19.74	29.360001	24.120001	16.32	27.5	25.889999	31.93
31.18	105.459999	112.330002	19.799999	29.280001	23.99	16.25	27.51	25.82	31.93
31.389999	105.139999	112.040001	19.85	29.559999	23.98	16.32	27.530001	25.9	32.029999
31.51	105.919998	112.650002	19.83	29.68	24.16	16.309999	27.52	25.879999	30.32
31.48	105.82	112.699997	19.719999	29.43	24.200001	16.34	27.51	25.879999	30.280001
31.389999	105.480003	112.480003	19.870001	29.5	24.309999	16.35	27.440001	25.85	31.08
31.33	105.440002	112.269997	20.02	29.75	24.360001	16.34	27.4	25.809999	32.16
31.059999	106.510002	113.580002	20.030001	29.93	24.290001	16.35	27.49	25.889999	33.209999
31.190001	106.269997	113.300003	20.030001	30.040001	24.540001	16.370001	27.5	25.9	33.369999
31.209999	106.629997	114.099998	20.049999	30.01	24.49	16.290001	27.379999	25.790001	32.77
30.709999	106.239998	113.779999	19.68	29.370001	24.200001	16.209999	27.27	25.690001	31.26
31.18	103.099998	110.169998	19.780001	29.610001	24.450001	16.200001	27.27	25.700001	31.940001
31.049999	104.300003	111.580002	19.440001	28.83	24.02	16.110001	27.190001	25.620001	30.6
30.99	102.580002	109.690002	19.469999	28.93	24.02	16.139999	27.280001	25.67	30.969999
31.27	102.150002	109.290001	19.65	29.33	24.02	16.139999	27.200001	25.68	31.290001
31.280001	103.139999	110.519997	19.59	29.25	24.059999	16.15	27.209999	25.68	30.6
31.280001	102.669998	110.43	19.639999	29.459999	24.200001	16.18	27.27	25.690001	30.889999
31.309999	103.419998	111.150002	19.68	29.549999	24.299999	16.219999	27.27	25.67	31.120001
31.42	102.519997	110.769997	19.940001	29.959999	24.459999	16.23	27.34	25.690001	32.919998
31.469999	103.800003	112.260002	20.059999	30.01	24.690001	16.280001	27.42	25.780001	32.82
31.59	105.040001	114.099998	19.93	29.889999	24.719999	16.33	27.440001	25.77	32.029999
31.469999	104.199997	113.300003	19.84	29.610001	24.51	16.389999	27.5	25.83	32.099998
31.459999	103.699997	111.940002	19.610001	29.870001	24.65	16.379999	27.5	25.870001	31.73
31.389999	103.769997	111.940002	19.85	29.950001	24.629999	16.360001	27.5	25.870001	31.66
31.24	104.699997	113.160004	19.879999	29.559999	24.43	16.379999	27.5	25.879999	31.65
31.370001	103.529999	111.800003	19.889999	29.700001	24.440001	16.32	27.5	25.82	31.33
31.25	104.559998	112.900002	19.799999	29.879999	24.43	16.33	27.360001	25.77	30.549999
31.290001	103.589996	112.620003	19.57	29.799999	24.57	16.27	27.41	25.700001	27.82
31.41	103.129997	112.080002	19.709999	30.17	24.58	16.23	27.27	25.67	27.83
31.49	103.709999	112.809998	19.67	30.219999	24.549999	16.190001	27.299999	25.620001	27.1
31.58	103.870003	112.75	19.65	30.290001	24.48	16.16	27.24	25.639999	27.139999
31.23	103.099998	111.839996	19.620001	29.9	24.139999	16.139999	27.23	25.620001	26.68
31.299999	103.970001	112.970001	19.719999	29.879999	24.209999	16.129999	27.24	25.58	27.4
31.110001	102.330002	111.139999	19.76	29.540001	23.99	16.17	27.25	25.75	27.74
30.969999	102.650002	111.309998	19.700001	29.52	23.950001	16.1	27.200001	25.58	27
30.790001	102.120003	109.989998	19.68	29.4	23.84	16.129999	27.200001	25.610001	27.33
30.98	102.330002	109.949997	19.92	29.91	24.07	16.139999	27.219999	25.66	28.299999
31.09	102.160004	109.720001	20.040001	30.09	24.15	16.139999	27.299999	25.68	28.85
31.24	102.709999	110.050003	20.030001	30.25	24.15	16.18	27.23	25.639999	29
31.49	103.139999	110.529999	20.139999	30.51	24.450001	16.24	27.25	25.700001	28.99
31.790001	102.830002	109.830002	20.139999	30.790001	24.540001	16.209999	27.25	25.66	28.58
31.59	102.620003	109.57	20.07	30.709999	24.450001	16.219999	27.25	25.66	29.139999
31.6	103.190002	110.419998	19.959999	30.52	24.35	16.16	27.18	25.620001	28.370001
31.52	102.400002	109.389999	20.030001	30.32	24.4	16.1	27.09	25.540001	27.84
31.41	101.900002	108.639999	20	30.120001	24.48	16.1	27.08	25.52	27.889999
31.5	100.940002	107.410004	19.99	30.459999	24.440001	16.129999	27.1	25.549999	28.559999
31.209999	100.889999	107.309998	19.950001	30.18	24.309999	16.120001	27.01	25.51	29.299999
31.049999	101.57	107.839996	19.719999	29.82	24.15	16.139999	27.07	25.5	28.51
30.889999	100.639999	106.440002	19.67	29.690001	24.1	16.129999	27.02	25.49	28.879999
30.889999	99.540001	105.480003	19.59	29.469999	23.92	16.16	27.049999	25.559999	28.780001
31.469999	99.330002	105.050003	19.780001	30.389999	24.15	16.120001	27.08	25.5	27.959999
31.43	99.470001	105.709999	19.799999	30.360001	24.139999	16.07	26.99	25.459999	27.790001
31.969999	101.57	108.260002	19.92	29.76	24.299999	15.97	26.91	25.26	28
32.279999	101.800003	108.5	19.91	29.110001	24.25	15.91	26.65	25.1	26.299999
32.380001	103.68	111.739998	19.66	28.73	24.200001	15.93	26.68	25.1	24.379999
32.400002	104.220001	113.870003	19.719999	28.610001	24.190001	15.77	26.68	25	24.65
32.419998	105.230003	116.690002	19.940001	28.9	24.1	15.79	26.68	25.040001	25.6
32.310001	106.919998	118.510002	19.889999	28.639999	23.879999	15.83	26.68	25.030001	25.66
32.66	107.43	118.839996	20.040001	28.82	24.120001	15.81	26.66	24.969999	25
32.599998	107.440002	118.93	20.07	28.75	23.92	15.77	26.610001	24.879999	24.719999
