#SPY	QQQ	XLF	XLE	XLV	XLP	XLRE	VIG	AGG	GLD
4.156111450195312500e+02	3.559145507812500000e+02	3.412409973144531250e+01	4.280206298828125000e+01	1.245852203369140625e+02	6.484410095214843750e+01	4.095751190185546875e+01	1.486326904296875000e+02	1.038467178344726562e+02	1.698200073242187500e+02
4.279797058105468750e+02	3.709294738769531250e+02	3.588077163696289062e+01	4.194410705566406250e+01	1.274700622558593750e+02	6.552416992187500000e+01	4.210552597045898438e+01	1.511173553466796875e+02	1.036301879882812500e+02	1.696900024414062500e+02
4.067304382324218750e+02	3.494615783691406250e+02	3.506783676147460938e+01	4.514190292358398438e+01	1.200128555297851562e+02	6.242298507690429688e+01	3.925317001342773438e+01	1.429375457763671875e+02	1.026791992187500000e+02	1.642200012207031250e+02
4.366625671386718750e+02	3.773610839843750000e+02	3.778159332275390625e+01	5.040937423706054688e+01	1.266041717529296875e+02	6.501100158691406250e+01	4.246572494506835938e+01	1.535266876220703125e+02	1.026569900512695312e+02	1.666499938964843750e+02
4.331540832519531250e+02	3.848963928222656250e+02	3.562318801879882812e+01	4.788319778442382812e+01	1.227346878051757812e+02	6.413507080078125000e+01	4.208387756347656250e+01	1.514142303466796875e+02	1.029347457885742188e+02	1.655000000000000000e+02
4.515999450683593750e+02	3.888350830078125000e+02	3.664609146118164062e+01	4.868139266967773438e+01	1.332929534912109375e+02	7.035786437988281250e+01	4.600899124145507812e+01	1.605370025634765625e+02	1.024768447875976562e+02	1.709600067138671875e+02
4.292848815917968750e+02	3.552767944335937500e+02	3.683108901977539062e+01	5.856990814208984375e+01	1.246309509277343750e+02	6.979289245605468750e+01	4.239950942993164062e+01	1.527275848388671875e+02	1.006737213134765625e+02	1.680899963378906250e+02
4.166136779785156250e+02	3.393747558593750000e+02	3.632190322875976562e+01	6.271031570434570312e+01	1.234248428344726562e+02	6.880988311767578125e+01	4.036641693115234375e+01	1.484455108642578125e+02	9.937702178955078125e+01	1.783800048828125000e+02
4.309356079101562500e+02	3.547777709960937500e+02	3.613331222534179688e+01	6.791693878173828125e+01	1.301013336181640625e+02	6.971939849853515625e+01	4.327724075317382812e+01	1.522768554687500000e+02	9.658052825927734375e+01	1.806499938964843750e+02
3.943340454101562500e+02	3.069220581054687500e+02	3.266804504394531250e+01	6.740947723388671875e+01	1.241242141723632812e+02	7.165062713623046875e+01	4.197582244873046875e+01	1.451054077148437500e+02	9.290151977539062500e+01	1.769100036621093750e+02
3.952241821289062500e+02	3.020524597167968750e+02	3.357680511474609375e+01	7.821828460693359375e+01	1.259723892211914062e+02	6.872517395019531250e+01	3.983198547363281250e+01	1.450016632080078125e+02	9.358324432373046875e+01	1.711399993896484375e+02
3.610740661621093750e+02	2.746180419921875000e+02	2.977137565612792969e+01	6.414437103271484375e+01	1.221712341308593750e+02	6.661183929443359375e+01	3.680540466308593750e+01	1.353065948486328125e+02	9.212634277343750000e+01	1.684600067138671875e+02
3.960278320312500000e+02	3.096815185546875000e+02	3.208085250854492188e+01	7.113148498535156250e+01	1.266668472290039062e+02	6.925981903076171875e+01	4.026151657104492188e+01	1.452298278808593750e+02	9.446157836914062500e+01	1.641000061035156250e+02
3.798690795898437500e+02	2.937880554199218750e+02	3.145275115966796875e+01	7.301817321777343750e+01	1.193576736450195312e+02	6.797672271728515625e+01	3.800054550170898438e+01	1.402156982421875000e+02	9.157933807373046875e+01	1.592700042724609375e+02
3.433414001464843750e+02	2.623645019531250000e+02	2.889274978637695312e+01	6.532630920410156250e+01	1.158657302856445312e+02	6.204468536376953125e+01	3.269772338867187500e+01	1.281116485595703125e+02	8.777420043945312500e+01	1.546699981689453125e+02
3.727716064453125000e+02	2.733490295410156250e+02	3.250791931152343750e+01	8.252527618408203125e+01	1.275079269409179688e+02	6.807265472412109375e+01	3.365510177612304688e+01	1.415645141601562500e+02	8.663773345947265625e+01	1.519100036621093750e+02
3.934945373535156250e+02	2.885038757324218750e+02	3.473697280883789062e+01	8.357976531982421875e+01	1.335303039550781250e+02	7.223712921142578125e+01	3.595497131347656250e+01	1.511183319091796875e+02	8.992956542968750000e+01	1.648099975585937500e+02
3.691231689453125000e+02	2.618721618652343750e+02	3.271838378906250000e+01	8.020539855957031250e+01	1.304855194091796875e+02	6.976652526855468750e+01	3.383835601806640625e+01	1.446411895751953125e+02	8.894256591796875000e+01	1.696399993896484375e+02
3.941379699707031250e+02	2.904367065429687500e+02	3.519546890258789062e+01	8.331037902832031250e+01	1.286214752197265625e+02	6.950335693359375000e+01	3.761423492431640625e+01	1.497022705078125000e+02	9.232565307617187500e+01	1.794100036621093750e+02
3.842283020019531250e+02	2.893916931152343750e+02	3.438681030273437500e+01	7.752971649169921875e+01	1.226514282226562500e+02	6.789159393310546875e+01	3.540871810913085938e+01	1.456018676757812500e+02	8.964490509033203125e+01	1.697799987792968750e+02
3.969596252441406250e+02	3.163730773925781250e+02	3.095006179809570312e+01	7.673300933837890625e+01	1.248600769042968750e+02	7.041761016845703125e+01	3.463956832885742188e+01	1.475466918945312500e+02	9.201631164550781250e+01	1.832200012207031250e+02
4.048402099609375000e+02	3.184722900390625000e+02	3.209046936035156250e+01	7.968677520751953125e+01	1.292877807617187500e+02	7.334166717529296875e+01	3.523138809204101562e+01	1.517208404541015625e+02	9.253435516357421875e+01	1.848000030517578125e+02
4.067090454101562500e+02	3.435800170898437500e+02	3.072636222839355469e+01	7.169281768798828125e+01	1.237688522338867188e+02	6.882410430908203125e+01	3.363547897338867188e+01	1.475611877441406250e+02	9.147895050048828125e+01	1.823200073242187500e+02
4.314609680175781250e+02	3.647384338378906250e+02	3.261289596557617188e+01	7.597997283935546875e+01	1.285131988525390625e+02	7.024472808837890625e+01	3.517539596557617188e+01	1.564004211425781250e+02	9.113056945800781250e+01	1.782700042724609375e+02
4.472393188476562500e+02	3.793372802734375000e+02	3.433354187011718750e+01	8.260778045654296875e+01	1.304227447509765625e+02	7.225006103515625000e+01	3.598478317260742188e+01	1.608543090820312500e+02	9.111786651611328125e+01	1.823500061035156250e+02
4.399707641601562500e+02	3.737117004394531250e+02	3.341033172607421875e+01	8.396755981445312500e+01	1.295088653564453125e+02	6.939820098876953125e+01	3.488235473632812500e+01	1.578065490722656250e+02	9.053265380859375000e+01	1.800200042724609375e+02
